Total adjusted box office,Lasso predictions,Ridge predictions,Elastic net predictions,Random Forest predictions
2630108.0,214075790.10524642,214075792.06680846,214076558.0470485,1809427.6666666667
5338877.0,249013063.81133097,249013063.61254212,249012985.98647574,44314002.43333333
3704492.0,232117057.9365228,232117058.78250068,232117389.13266134,155708418.0
29260708.0,201329683.05811095,201329685.80783018,201330759.55954596,40348452.6
1031804.0,198756207.2319587,198756210.14080915,198757346.0324748,2369199.6
235651917.0,279072866.7295257,279072864.671985,279072061.2125429,197558164.2
102553511.0,272066547.2894633,272066545.6651593,272065911.3824914,132990595.0
550931852.0,279126762.1212157,279126760.0603424,279125955.2995254,198469151.43333334
12634704.0,278210550.5558614,278210548.5516422,278209765.91395533,185917989.16666666
2587817.0,226700634.76683694,226700635.94774008,226701097.08454373,10361746.666666666
127199114.0,285688454.62839645,285688452.16178,285687488.96028936,814908285.2333333
1364840769.0,219532632.6602576,219532634.28439507,219533268.502013,79041930.73333333
114654727.0,221957897.06277758,221957898.5369485,221958474.19337583,214036376.06666666
29792989.0,279800446.35293275,279800444.25040203,279799623.2225955,57594585.0
24451408.0,202353681.90276766,202353684.58916777,202354733.6150881,39875957.3
3931454.0,217255580.11937666,217255581.88431597,217256271.0843547,2158159.1
55928669.0,208551578.12792382,208551580.43107623,208552479.80066144,38428269.766666666
15010538.0,281565498.62124795,281565496.409575,281564632.7622659,330824300.53333336
13788584.0,232426952.91874677,232426953.74556226,232427276.61290202,177858338.26666668
15519987.0,204725050.9037589,204725053.44352514,204726045.20963004,5910085.466666667
43358682.0,279948657.15138775,279948655.03969246,279947830.4331417,57594585.0
4837326.0,213442527.1186253,213442529.11934525,213443310.39055085,215906421.73333332
1233097708.0,209642945.1080001,209642947.34366772,209643820.36076546,855678682.5666667
335633277.0,228735161.7551122,228735162.81021005,228735574.82069057,397561274.23333335
544912837.0,257380223.33470362,257380222.61853036,257379942.95642078,450009236.0
1022525475.0,286537300.32653385,286537297.8074289,286536314.10944533,128236421.2
10413818.0,273993285.6750573,273993283.93161315,273992603.12531936,22452831.266666666
47889888.0,232265269.04835007,232265269.8851633,232265596.65657222,161436093.46666667
182547988.0,285176454.096356,285176451.6613991,285175500.82283306,235354081.46666667
94872948.0,233275795.2347718,233275796.009099,233276098.38002747,161831854.8
218709182.0,279140233.6239825,279140231.5622761,279139426.47617203,198469151.43333334
583723439.0,250562538.82916054,250562538.5345597,250562423.49438632,339134170.23333335
99194960.0,278992024.3264445,278992022.2739027,278991220.76650655,137910609.2
429393776.0,277981498.0007074,277981496.01065165,277980718.9037393,670033811.5
19785492.0,204954103.51755518,204954106.0431579,204955092.27848697,24218661.966666665
55054946.0,255049275.97761747,255049275.40557864,255049052.02725086,26763197.233333334
4340682.0,210707368.91995358,210707371.08980238,210708218.40499082,6648799.266666667
510669525.0,203431576.09724197,203431578.71699038,203432601.71574134,875130159.7
1316944.0,213456001.036143,213456003.0360298,213456783.98188996,184773006.6
4909862.0,207783577.5308138,207783579.88145563,207784497.79542276,7541054.7
440014934.0,239312007.50825533,239312007.90933257,239312164.52799705,267926945.46666667
259952785.0,246520430.5113256,246520430.46666902,246520413.0285037,946867266.2666667
970833220.0,270813493.5954268,270813492.0486055,270812888.0225629,461647528.1666667
465436567.0,236563375.10580155,236563375.6768408,236563598.66484046,367180501.93333334
88978269.0,205789472.84666538,205789475.32061294,205790441.38485366,85579659.2
49470938.0,263146964.42375943,263146963.35099897,263146544.44336063,73556318.13333334
43337258.0,238463167.11337468,238463167.56694007,238463344.68196946,57746172.7
328998.0,267957072.21463937,267957070.8444453,267956535.79044414,229858899.9
20294744.0,230028636.67694125,230028637.6520569,230029018.4298886,19021249.466666665
884350016.0,239541059.36082974,239541059.74774352,239541210.83565056,342011848.8333333
185908934.0,283559606.89430404,283559604.55932516,283558692.76165587,279962186.93333334
175253086.0,224666108.3881474,224666109.69485575,224666619.95796782,79911275.46666667
30421540.0,278628234.66149217,278628232.6314453,278627439.90822786,100359324.8
17212357.0,279625288.04211366,279625285.9504139,279624469.1520345,72152903.9
36900588.0,234757900.54566905,234757901.22835007,234758167.8119015,48498889.06666667
8206926.0,214170105.9207182,214170107.87644818,214170871.57930914,5364891.9
280856967.0,285216874.4593587,285216872.02190244,285215920.2073337,235354081.46666667
33476520.0,208174315.0780324,208174317.4045129,208175225.88360938,26812741.5
38964397.0,262998752.8204289,262998751.75683314,262998336.42795837,48587409.43333333
37575595.0,202003366.22531435,202003368.9333763,202004426.41812825,20827728.8
91410953.0,255507380.81578812,255507380.21542233,255507145.77555224,123305788.53333333
5442058.0,251061064.0949693,251061063.76954207,251060936.69182217,33561109.4
92870598.0,269088860.8625844,269088859.422406,269088297.03988326,191291861.43333334
76583.0,259091383.28551555,259091382.4635325,259091061.48322108,502191895.96666664
282009009.0,203081260.02216256,203081262.6635728,203082294.12116498,209530129.86666667
5583957.0,199187364.75628343,199187367.6384732,199188493.1192748,8257082.3
79149235.0,277725497.3959127,277725495.4216867,277724724.4962448,93744820.63333334
473347913.0,242114535.0360801,242114535.26386267,242114624.21182346,377833362.56666666
462400996.0,228816003.78892037,228816004.83901936,228816414.89746293,551836408.8666667
907096.0,260640857.73638192,260640856.8185869,260640498.42418218,161094913.8
1291452.0,252731813.9830879,252731813.55434963,252731646.1341819,138661132.9
94025703.0,278978550.547081,278978548.4953723,278977747.31331825,137910609.2
229063805.0,241791165.46906734,241791165.7168455,241791262.47298872,155541576.46666667
119186969.0,266070754.94698945,266070753.693436,266070264.18703988,262810331.13333333
8324565.0,223103160.63230857,223103162.03566197,223103710.038198,9963260.766666668
369097150.0,280366341.20284134,280366339.06531847,280365504.3732384,828997612.5333333
15579800.0,204967576.60418394,204967579.12895355,204968565.03895724,24218661.966666665
100469366.0,281242130.27962154,281242128.08794415,281241272.2487879,182007876.63333333
7279259.0,242559165.9831961,242559166.18348485,242559244.39524814,32294847.2
72619782.0,276283812.7224851,276283810.8374059,276283074.72333175,135034295.8
148961987.0,246143166.83500302,246143166.8136746,246143158.48503563,250060737.03333333
14563484.0,232238321.11410567,232238321.95258522,232238649.37468737,155708418.0
120785383.0,283317080.33810544,283317078.01812327,283316172.0765758,201770359.6
100072168.0,267687598.62663427,267687597.2731031,267687068.72589526,200626484.96666667
565248972.0,270705704.87473714,270705703.33458096,270705101.91123843,452584664.1666667
242382975.0,287049309.0001403,287049306.4493752,287048310.38827056,225505007.83333334
117734770.0,285136031.0717638,285136028.63930655,285135078.7768074,75036625.96666667
19722039.0,247261483.26047805,247261483.16999838,247261447.83814225,34648471.5
1066477005.0,284314135.8457992,284314133.4641639,284313203.44740325,72518363.3
347272637.0,231281689.2665358,231281690.1641688,231282040.68540186,213480503.33333334
5961291.0,226202109.42446518,226202110.63619468,226202583.81054673,14541106.4
108262484.0,277819812.25590044,277819810.2758425,277819037.07304454,230664751.8
23453124.0,275637075.73213285,275637073.8870447,275636353.3892836,31071086.733333334
206367.0,209872000.25455827,209872002.4760622,209872869.96232295,738012162.0666667
342616986.0,246533904.30767372,246533904.26218402,246533886.49867615,1052024822.0666667
253706082.0,212580211.39535898,212580213.4494003,212581015.5423503,253585119.56666666
237877035.0,231295163.0423247,231295163.93912452,231295514.1350156,213480503.33333334
280308111.0,228627372.6766367,228627373.73839974,228627788.35158896,284396626.03333336
22627964.0,284677925.42517215,284677923.0210419,284676984.2201046,44844015.833333336
388618673.0,255857696.722699,255857696.10067135,255857453.20196414,286088280.6666667
364394046.0,269290967.2279955,269290965.7753198,269290398.5126737,475817590.43333334
39221804.0,284718346.73800874,284718344.33137906,284717404.5544161,59929325.333333336
278069823.0,264804227.69805455,264804226.52281702,264803767.59838283,282836575.6666667
201985813.0,283128448.5724054,283128446.26408726,283127544.8773013,597642403.0
89769440.0,205856840.73520538,205856843.20498723,205857807.64254192,94896400.26666667
166100305.0,246089272.49778634,246089272.4797905,246089265.452501,117602980.53333333
173335606.0,282670342.62845737,282670340.3484663,282669450.02324927,247240265.0
59432344.0,277550339.18609977,277550337.22270477,277549570.52668756,67448965.23333333
858937295.0,236684637.31655216,236684637.8800932,236684857.9400577,589284913.1666666
