Total original B.O,RandomForestRegressor predictions
4779961.0,10575471.35
207784007.0,155862034.86
12793213.0,9116619.59
1905109.0,1350380.5
2767133.0,2062246.16
78867205.0,95646736.44
89758389.0,49744500.17
9748233.0,9799441.6
17336686.0,17780410.79
103300690.0,6515383.55
8594558.0,9293395.66
15644196.0,2099507.79
21494849.0,9536655.33
132440066.0,277771967.94
123327692.0,47402009.62
71189835.0,84949074.78
24660323.0,41141058.38
17657973.0,36387055.36
142634358.0,145681133.11
270944428.0,279135888.78
490359051.0,848452234.04
231450102.0,58086777.36
1658706.0,89480670.82
11217346.0,7450978.54
33886017.0,88766182.12
63408614.0,26725249.87
32608019.0,55756145.42
10030875.0,9826690.12
114000.0,175939.24
24058000.0,26201921.24
33518508.0,20008541.71
6139896.0,5624472.88
17216955.0,28006235.26
18285560.0,21231271.33
11993156.0,16840434.95
316802281.0,303402387.2
32945797.0,32621667.34
149217355.0,76001917.67
9000000.0,14900062.02
23540266.0,26867808.09
201324422.0,193808628.97
282332.0,909285.4
38728987.0,5203172.64
25514479.0,31684248.12
348629585.0,237006573.81
1027760.0,5315883.74
1165996.0,39214246.69
5186392.0,5503246.33
2433722.0,3322489.15
3910019.0,4365665.6
621156389.0,975667020.63
20278055.0,21694005.58
349464664.0,269070717.41
18535575.0,14016185.89
25587804.0,26011506.5
155769678.0,68288716.31
22852487.0,42538509.09
12910360.0,72806180.2
7400000.0,20923736.41
362211740.0,373928585.25
36000000.0,10384523.91
32002177.0,22516713.74
347425832.0,640877665.65
11000414.0,10860601.26
3237975.0,17111746.58
6000000.0,6155889.52
217370736.0,142012439.32
86300489.0,81135583.85
37956589.0,70252099.36
4495262.0,15259761.78
16337355.0,20235960.1
197618160.0,195949089.96
34327391.0,51748269.62
16376066.0,31905909.56
26220877.0,26495580.47
963667273.0,102648595.35
119180938.0,42839871.04
83977418.0,77661080.18
354836.0,5108278.03
153007424.0,64127468.81
4755853.0,4962250.81
878271291.0,854119524.0
1777709.0,27120756.52
6756412.0,9289269.48
57577765.0,55466166.96
492846291.0,362015651.63
8408835.0,9157636.32
238521247.0,153372860.01
4940419.0,25482251.94
36520451.0,46452052.95
5571497.0,9642682.61
2715657.0,28454931.04
8853155.0,8953805.27
13596911.0,14130288.46
940936.0,7795999.89
69911903.0,113495265.97
102296470.0,83244703.12
124827316.0,196461732.09
9000000.0,9716598.44
31878891.0,74318267.03
22165608.0,24015217.85
57753825.0,54503641.15
183920.0,6355595.95
22505932.0,38293493.41
266685242.0,119175427.23
273330185.0,228340387.51
34409206.0,24707483.43
77024944.0,145452157.71
672806292.0,759690697.29
80491516.0,94368148.0
20506260.0,25272872.61
81428388.0,33422642.22
28824741.0,8485758.28
250397798.0,144741200.86
22815460.0,16792829.31
18709.0,348969825.68
1309971.0,4776440.81
158527918.0,100685547.04
39719431.0,42677047.89
137298489.0,134141025.03
62063972.0,55955262.33
71232214.0,149236170.96
35078913.0,33917674.9
56968169.0,90207790.33
560483719.0,612267987.01
25344490.0,2342754.17
102028919.0,2477750.94
110879513.0,61449958.46
78900000.0,53822240.18
133214549.0,336820554.53
27187896.0,9126398.95
57386682.0,50720203.84
43646976.0,66056551.22
198750909.0,225638682.36
1647416.0,11490125.02
810183.0,1137950.51
16202210.0,16572815.94
12567770.0,13679631.93
336529144.0,311691757.26
27805632.0,34387809.01
60780981.0,76441322.62
167586.0,40993366.21
20722450.0,41260353.33
153535982.0,90521119.73
20790486.0,42402867.77
25038874.0,25886860.91
14600000.0,17007155.51
794697557.0,647909703.58
128745578.0,96574680.89
18148.0,411233.32
130673154.0,52034127.77
36722311.0,20807869.77
528731.0,567816.67
19526014.0,18426761.64
88611837.0,27879409.84
190376181.0,296509779.8
7721851.0,8730647.23
310566162.0,266781370.02
74781999.0,168839856.54
50681884.0,85456688.77
28773637.0,27116776.46
2848234.0,6244032.83
27084499.0,28904426.33
1045713802.0,622977075.89
1055083596.0,1073400680.51
131237688.0,127649226.54
238059569.0,261256350.26
14297083.0,14044542.21
342416460.0,280229777.33
49741540.0,4127144.87
465487583.0,626885487.92
8400000.0,14387974.48
9208876.0,38512409.37
10353438.0,10568093.55
16727470.0,18985119.25
16873925.0,16256706.5
12905107.0,17239102.15
31286759.0,74474482.33
3185717.0,12598931.53
40016662.0,38540452.43
68275764.0,43849108.8
50873923.0,94834297.74
324976.0,3327669.58
9230769.0,13524986.7
14636067.0,7654127.99
73956241.0,35736771.26
17200000.0,19538881.86
62176754.0,23746318.67
167780960.0,133939058.47
37306334.0,24602287.88
117085297.0,52830898.87
101773.0,294089312.7
12282994.0,11697682.85
38900000.0,41827247.64
14929184.0,8491322.65
23271741.0,21022682.84
69847348.0,80716615.51
21289527.0,21110797.53
31943401.0,26398232.11
12017369.0,12592210.57
24218678.0,50781858.25
16511348.0,21744560.68
6955892.0,22482064.56
521170825.0,380533318.56
21577076.0,27399870.89
38261299.0,53252746.92
135808837.0,126607611.39
6468664.0,31253895.25
656695615.0,731324417.88
7985929.0,41502522.11
56096200.0,79808944.31
5965646.0,9667195.13
3000000.0,3070565.92
3531971.0,3191610.29
9000000.0,12708642.17
350976753.0,700018481.67
554600000.0,330113369.5
15349948.0,10250620.72
46752858.0,47507322.04
82078046.0,110610787.46
63895607.0,8412425.89
51684798.0,71595342.81
3815394.0,563795.03
77628265.0,111002792.96
164920076.0,118720821.95
62617547.0,81158672.75
164285587.0,186695589.83
48017402.0,48839145.43
105475310.0,153164904.88
11307615.0,11105934.4
52545707.0,83790651.42
850566343.0,1408885268.74
153329844.0,102348749.65
111534881.0,201275574.53
11798302.0,14466734.77
648183.0,9467416.1
66132626.0,61474556.93
5119629.0,23102810.04
2024063.0,1405390.66
220796009.0,57864648.08
68109966.0,68501057.96
8025872.0,7965418.13
11124511.0,10851265.23
14812144.0,15020427.42
31261000.0,32455839.43
15779261.0,45728930.02
35856053.0,14811825.36
7008922.0,69285232.98
95592669.0,178539928.52
2852759.0,35327288.52
14566246.0,19368503.95
177241171.0,220818615.19
46819069.0,32609015.29
24324476.0,34392513.46
852558.0,15259833.19
12850033.0,6533140.73
53401938.0,121357465.79
19637147.0,19158440.4
37497480.0,37205722.64
9205935.0,14346979.8
23689877.0,35288394.55
23106971.0,17922842.34
874000.0,39376925.26
57138719.0,144750197.45
116280867.0,37223420.7
172878928.0,127629412.5
2853801.0,5869493.35
10885816.0,6264075.77
27789904.0,46741110.27
57697426.0,177073220.76
2053931.0,248289551.67
18120267.0,10623714.02
167851995.0,180927638.56
78652207.0,339539744.48
68336997.0,76884212.33
710644566.0,470174835.48
96971293.0,68873724.06
47289148.0,17004367.91
21375166.0,23429268.65
21156152.0,21543763.07
7785229.0,5997118.03
38959900.0,46448770.16
96096018.0,81805322.15
529076069.0,406078112.69
254310003.0,147495011.07
4271022.0,3956583.92
15427.0,198314.6
94029472.0,13477462.46
74870866.0,30526578.16
27731527.0,35670007.54
18100189.0,49582820.05
37336874.0,47305563.34
266600000.0,171676331.62
19123851.0,24496181.92
18413804.0,18233985.06
33592700.0,12932684.27
9000000.0,8394944.8
157300954.0,14076752.85
46829309.0,50014673.24
2354875.0,5178424.72
1887554.0,8706868.16
6000000.0,7270467.96
12500000.0,9718662.4
13205411.0,14879691.44
211562435.0,171518433.89
36734619.0,36983803.42
305384865.0,239437918.49
234723148.0,168806285.58
12254746.0,10334598.74
7862131.0,13322530.4
4205944.0,11968142.23
86432520.0,97019140.0
149270999.0,230919581.09
4027663.0,5104589.41
9561231.0,24312369.87
56445534.0,81188618.61
213966221.0,13354903.26
74156610.0,149014450.58
153302565.0,39099842.0
11279884.0,12964497.95
12624174.0,45813640.02
15461638.0,12657363.2
17400005.0,7409313.73
29083597.0,29099023.82
13736872.0,10737269.88
33339868.0,32323735.39
7190505.0,7119834.0
42446455.0,20060322.79
43164679.0,31667112.63
22750356.0,21668368.55
41598366.0,82080997.98
17224992.0,28940907.57
220648184.0,278296183.37
60217171.0,19147562.73
20741000.0,3006744.68
3988612.0,8066528.87
784206372.0,380789385.88
1188194.0,4692265.18
151716815.0,77110830.76
77593167.0,70415130.76
62761005.0,41050004.22
157670733.0,171594386.12
138708527.0,134054649.51
11131455.0,4067615.98
342769200.0,366561675.21
22099706.0,30012006.7
297718711.0,501421719.92
76346094.0,101542408.99
42425450.0,25766506.62
101134059.0,85089743.6
52743674.0,22545179.98
65532491.0,21178058.15
391081192.0,652237861.75
195300000.0,47126904.05
235900000.0,137839774.63
4730228.0,34721352.12
4348025.0,20320254.34
27484464.0,23846111.62
25942000.0,26832077.4
292203.0,10330846.89
1507310.0,18109728.62
257767797.0,176566322.93
4581937.0,1188031.76
23014027.0,5142648.04
7736103.0,8770776.39
7195105.0,6123763.92
72270895.0,100444828.44
49628177.0,66532169.74
217194805.0,318767354.94
3107000.0,3300840.31
21000000.0,8186525.46
15728335.0,17101903.78
6093725.0,3053491.19
114770654.0,106100703.01
1434847.0,1245283.84
6487257.0,10230122.44
441286003.0,216630051.74
28992658.0,27054107.16
89476265.0,132711721.8
190506000.0,411952782.79
21410546.0,50691290.17
183015237.0,243236268.97
21709539.0,30463051.36
127361412.0,124879828.54
39549758.0,58668718.21
4911725.0,17277987.75
9285189.0,19640144.78
39381963.0,40659495.59
43070915.0,64602120.89
70112484.0,182271474.84
67312826.0,52341635.99
263591415.0,8317708.07
173559438.0,309774653.18
305502.0,1253100.75
69995047.0,11950514.48
399866199.0,283855197.94
33086611.0,36075605.68
20423389.0,20045079.3
7445044.0,124381381.8
101379287.0,256208277.58
70712099.0,101569882.51
28153434.0,38321946.93
1131683.0,4817021.35
7393346.0,10132035.99
1237615.0,6766069.15
12617472.0,33295996.71
42245180.0,89380489.33
3281232.0,7237281.56
2509344.0,8299992.67
55337042.0,117590922.98
57512470.0,106262023.27
10006000.0,11350031.18
124033872.0,205739584.36
227328585.0,32207571.52
1236094.0,18815314.97
9289349.0,1831323.43
33473297.0,61222904.07
155620350.0,72701593.4
3859755.0,3681628.13
158411.0,3408981.78
6343015.0,17487973.06
259425249.0,67679157.22
40055897.0,41046687.7
377002.0,8382500.76
164800000.0,195396678.5
72004159.0,51062727.31
8593154.0,1301988.41
200238.0,8773382.79
6342668.0,5836399.45
192617891.0,37078711.26
316479150.0,296557524.87
1301562.0,1996684.7
10000000.0,12011474.69
118729073.0,107107958.6
610432.0,4784773.49
3016496.0,2924050.62
67130045.0,84388010.41
122529966.0,208214040.41
87950928.0,16719760.17
4907779.0,13090294.08
74433837.0,95703392.74
504050219.0,325949635.63
20408260.0,54106735.64
144123.0,694745.22
230677636.0,9650466.53
117729618.0,110163870.3
20005613.0,1083239.9
55307857.0,67316063.82
11285154.0,175331810.1
5835247.0,6174622.95
2769756.0,5375357.44
139716717.0,202276117.93
381367046.0,197581534.57
25913869.0,29151766.3
5855392.0,7952608.07
23661038.0,18710849.78
25852508.0,32466499.58
2000093.0,60042014.64
162778384.0,157391940.59
75997067.0,76651516.75
32589493.0,59590643.08
24716190.0,19735592.72
4360548.0,20898798.96
3623609.0,9056703.66
13587246.0,33816327.15
13994920.0,14319003.71
266824291.0,312904804.1
16235738.0,18055152.34
3098590.0,3623792.8
33000000.0,42054083.26
5520368.0,7174887.42
208300000.0,757454.46
2654096.0,21146311.86
4000000.0,62575102.46
435412594.0,285889936.82
124221.0,6056296.08
5299037.0,5710321.12
4134992.0,3799765.4
6264058.0,8301812.26
17637000.0,30228999.28
67338219.0,108981553.84
356770593.0,457668525.39
159157447.0,111027959.28
22567607.0,16272794.6
108027701.0,124869319.73
4248622.0,4246319.64
139500.0,98994277.07
4304286.0,4362541.55
36299898.0,40509389.78
15126948.0,15063423.44
14717854.0,13122493.1
170362581.0,223888085.02
160700000.0,141817601.06
18471850.0,21040842.5
163527824.0,176954171.35
98393930.0,85083272.7
60282876.0,41006975.98
1324299.0,21289041.79
141267370.0,98477596.82
26300000.0,17913087.79
3180252.0,3028028.98
81464486.0,133452385.5
4984663.0,4910880.59
18429.0,6379304.64
30000000.0,40862368.96
27385582.0,35403117.32
1716001.0,1254989.27
29863840.0,290153037.45
296872367.0,291432174.4
2500000.0,23974796.58
46038636.0,87758940.21
33013805.0,12833458.32
287215196.0,657623464.1
80369970.0,53848066.72
50813834.0,12028444.81
15521619.0,24746449.57
5665641.0,7458395.12
7175592.0,10687872.74
237814327.0,27519319.9
66786966.0,57646287.66
17700000.0,13728040.0
76086711.0,46282207.32
45000000.0,188645200.54
133892212.0,72606012.14
23894000.0,26863253.06
113310547.0,151311700.24
15466961.0,40325263.76
64626786.0,25494836.32
290930148.0,140483992.57
55842724.0,118259162.96
1878000.0,1923861.59
449326618.0,539313508.21
224390706.0,211829611.42
1072817964.0,1151604672.26
9765361.0,717315.1
5885881.0,16113620.78
42598498.0,43153713.83
6419876.0,13790712.7
41179660.0,13501467.9
13853284.0,8650507.4
6640346.0,8492716.58
19982.0,83528068.1
3600000.0,10370592.81
72989781.0,95422990.34
169955142.0,288419906.61
314709717.0,465333218.77
274543085.0,22841978.66
7220490.0,11997637.73
708272592.0,760948940.89
34356760.0,17084034.1
63749955.0,97908299.76
178503788.0,162120794.62
72571864.0,42238610.02
27342246.0,41339786.36
36230219.0,35154081.8
8221700.0,12498035.97
647263005.0,715341124.33
81209222.0,51187962.72
43492389.0,74071683.06
755249.0,39357238.71
2410162.0,48976693.73
40996665.0,41197165.22
22108977.0,22901684.46
543973.0,1844041.19
11436929.0,20903215.76
47782426.0,65771382.49
43306392.0,3192993.82
6653715.0,13983048.41
65084116.0,100121681.02
15671.0,45717.06
218535708.0,203970817.09
25030444.0,1095394.95
49800000.0,2439493.92
52461017.0,112725008.83
252091016.0,103950448.52
48577431.0,60852894.57
21799652.0,27008141.2
304249198.0,135872100.78
109492484.0,140195795.78
10490791.0,10388309.56
82000000.0,15486759.87
969000.0,251560610.38
125687.0,6051296.88
9000000.0,70558805.82
7147008.0,8853159.67
180047784.0,172219380.9
68848446.0,72845017.39
358824714.0,232994200.23
79282312.0,140470310.93
22879194.0,6568666.5
5000000.0,10624739.0
6812530.0,16036877.07
116148537.0,36436779.89
217569328.0,208267430.97
5243335.0,6929384.97
10000000.0,10073881.56
105195.0,227694.64
38122000.0,38434711.82
27700000.0,29639770.42
15024232.0,15043554.25
30089110.0,41277599.99
374890034.0,697478861.91
20883834.0,6132141.47
259736090.0,243964955.06
16830252.0,28526194.12
5269757.0,11958805.54
135893.0,31404844.52
7000000.0,37730624.96
19000000.0,20821122.4
10026255.0,10761193.69
10773007.0,44865199.16
163037661.0,173082422.49
16900000.0,20580898.62
20000000.0,20297878.33
10986645.0,10223235.24
200182160.0,117462088.38
21361109.0,32428206.14
230779191.0,165495505.33
45916769.0,73268754.68
139700000.0,95599568.88
41509797.0,44448178.75
6965361.0,12807350.67
75984700.0,92441076.26
19731505.0,19427258.99
710383.0,25218039.09
333771037.0,269270726.66
14471440.0,18337214.9
19665004.0,40897495.85
29400000.0,2424020.0
125053490.0,540493643.85
5632086.0,4415198.28
16316258.0,15927814.12
282778100.0,131541640.16
8925775.0,12444707.06
1313548963.0,765395413.91
2700000.0,27074895.15
7881335.0,11279938.24
14582182.0,11947518.01
11917143.0,275627728.34
579446407.0,278712444.15
1331635141.0,233651084.15
2347000.0,6346177.4
22099847.0,48992374.31
352161.0,6352494.8
77307226.0,101832180.24
14375181.0,20473769.99
103913405.0,70957989.85
40053595.0,40125806.97
4000000.0,7415169.53
16595791.0,23033890.17
24419219.0,50696617.68
135569212.0,166274858.7
199646680.0,133846427.31
27979399.0,52760087.7
1038228.0,40960888.73
71000000.0,42853683.65
5241315.0,56563185.24
12214338.0,22502521.86
4191023.0,6180111.68
6086891.0,13311601.29
3695409.0,3593359.21
8123860.0,39540873.59
14358033.0,14490121.19
16585503.0,17942846.2
23367586.0,256700356.41
2061804.0,53670745.23
38780888.0,7815450.95
3150170.0,3211941.19
11276846.0,11552886.68
3811040.0,1171223.43
30360570.0,23789677.58
890303.0,16042916.16
432224634.0,1196361833.0
31046220.0,31477001.36
39246734.0,33971337.6
178100000.0,170282824.83
83792062.0,66644026.74
77477297.0,70323702.54
352288341.0,328205159.84
1072767997.0,1783970545.59
4800000.0,5748111.22
118209778.0,150480177.94
62646763.0,43072780.42
231928227.0,42084011.71
35106706.0,13307198.19
7939676.0,2929400.87
470986200.0,319175539.08
35681080.0,60761323.88
25122195.0,25467974.72
16638300.0,37879867.41
34873513.0,43417254.31
49621440.0,62001870.08
39846896.0,27667675.99
3343567.0,4221250.23
53797409.0,3937395.04
78481410.0,104403727.57
42137871.0,5072478.81
25357771.0,10251823.07
4230717.0,11613164.72
117270765.0,142875155.51
14271297.0,15594727.37
427300260.0,252166840.19
25889208.0,33346912.24
23182223.0,31462219.75
475488.0,3219168.33
2598505.0,418036.54
68613992.0,114603849.65
59795070.0,54464495.4
4388500.0,4210615.3
62226214.0,49695048.45
437547.0,5067024.4
12898064.0,24245718.02
208094550.0,112605961.71
163838217.0,121752428.65
22000000.0,22351392.3
263892820.0,95464588.2
40014998.0,29549191.74
306941670.0,168000057.28
1329660.0,2511214.8
200340.0,72614883.18
3685862.0,59026641.2
7496681.0,7708199.62
42799060.0,74280414.92
28866028.0,52558702.28
158750817.0,271226803.84
140000000.0,101661017.17
10172124.0,14962344.12
8170839.0,21374201.81
214392904.0,163936362.98
1616353.0,4508377.87
879088897.0,465872237.03
47881663.0,30038282.64
15680099.0,47400001.52
2794056.0,2515203.28
1242805359.0,1386814084.94
92141886.0,131382634.92
431870523.0,691290197.75
36856306.0,52523959.3
78222753.0,169431294.04
43499580.0,62294842.03
105159085.0,141237944.68
11000000.0,11021194.78
14789113.0,15237839.5
115021008.0,171568461.8
836519699.0,1832613481.51
31680796.0,32899572.84
227300000.0,306897170.1
150191.0,1510691.61
17005599.0,17002277.39
40286416.0,63339709.16
37400000.0,35426042.76
41975388.0,111692795.92
123133739.0,122763963.35
37226218.0,41031773.58
5278632.0,9603311.63
213299.0,16394678.31
319713881.0,330525797.06
5820015.0,5707101.74
99624873.0,71661410.19
135015330.0,68976024.9
5732587.0,6031013.38
8284331.0,10890403.65
36751984.0,5734107.99
8223137.0,1441389.7
8622973.0,8618897.02
3000000.0,79834730.6
719699.0,526834.39
246546998.0,84985879.49
137768975.0,142791519.1
401021746.0,560500577.69
16519460.0,17496388.56
61894591.0,106427080.07
1933065.0,67579192.68
16316273.0,28328041.11
47011449.0,40602647.48
57956789.0,91224997.58
20883046.0,20475492.17
55279608.0,62076894.04
2019874.0,3262781.04
8362371.0,8283480.91
544772.0,4511424.84
2363472.0,2205509.43
34872033.0,35851691.69
42657631.0,59696335.47
5217498.0,22121747.52
315268353.0,427278289.3
21817298.0,32354717.2
117211892.0,103985341.8
25534703.0,25502805.48
92999400.0,110402327.61
174463257.0,222909854.77
573068425.0,272215305.32
47135489.0,127397657.55
14793701.0,21414834.74
6464357.0,371559953.94
7300742.0,14276317.22
367160781.0,535887321.86
159616327.0,327384527.16
424208805.0,147460379.1
39238443.0,30576741.01
9297407.0,10015649.97
207068340.0,193947453.5
62633705.0,279512309.46
34487202.0,2361924.45
23889158.0,17145036.42
35615609.0,8529405.73
12577401.0,6285543.35
953535821.0,826925605.79
6971266.0,17587557.58
285169.0,787560.72
178919401.0,149395973.59
286896578.0,147893908.14
62401343.0,201392328.33
50003303.0,21440967.69
172363301.0,277194245.58
38329114.0,36299018.85
45800000.0,43849108.8
63710000.0,85348818.14
22524614.0,31490116.19
11128309.0,11247995.66
4713059.0,41569408.47
2772511.0,218217.05
10755447.0,10838829.67
30996614.0,139423059.54
26308749.0,36649467.04
24946533.0,25370750.54
4971088.0,18658824.64
29227561.0,97227990.07
41921590.0,32108694.25
80681183.0,84858976.55
22847660.0,25192895.22
19317765.0,49881200.38
49752241.0,41487211.28
14600000.0,15998944.07
17326032.0,11035480.18
9353729.0,1442650.76
611032.0,2512502.07
178471.0,23117594.53
2703762.0,235150098.14
7019441.0,7221555.15
61492104.0,23559980.87
16955673.0,31887584.57
33398936.0,33355690.53
1082228107.0,775737123.91
145374099.0,65102282.76
3887852.0,4593808.11
12179708.0,10734903.14
29197694.0,6182106.28
17252287.0,9847540.14
91800000.0,61646237.17
18272894.0,20812188.51
176639.0,20816988.45
30143795.0,26327535.36
329631958.0,165515546.01
8000000.0,8114323.51
29406132.0,26119326.64
49851591.0,58829136.89
40159017.0,88801237.88
23265132.0,19722789.3
96147688.0,111449976.94
150816.0,1330593.9
928265.0,11050840.47
6000000.0,76216717.57
355919.0,1098730.43
5295909.0,4783573.38
31333917.0,36991226.93
44005435.0,7976876.47
631441092.0,548260487.86
98819789.0,47354302.55
25842024.0,35703202.48
417341288.0,365099412.23
30360375.0,1282431.97
2255399.0,27736157.32
63095271.0,115164996.53
3393606.0,3820223.45
9873000.0,12343856.68
203018919.0,96443727.73
2083088.0,47718171.92
270340892.0,250499167.07
221300000.0,222175588.27
550517357.0,246995561.67
1227316.0,29188105.87
3151960.0,21234405.69
864907.0,1107484.78
29634023.0,36548755.44
4651977.0,8883583.0
11444204.0,12595346.51
4500147.0,27110401.68
3805492.0,251624335.27
54404202.0,84829320.58
70326393.0,142270541.43
51379470.0,16493674.42
21340234.0,95905921.14
39248707.0,6410998.38
10466091.0,18982695.17
23800000.0,65289122.57
70743839.0,44165485.86
8613462.0,8560524.47
5512151.0,9840191.27
37472651.0,23961299.93
89809433.0,97335796.56
71523271.0,63398878.94
185400000.0,65391825.05
46739562.0,43131470.49
3325651.0,3469459.04
4574909.0,296974375.36
377426903.0,377798778.14
22998000.0,22071455.38
5711976.0,6248845.31
273271982.0,357264133.25
2912945.0,3133296.66
182291969.0,191679270.45
188494082.0,216394175.18
22921898.0,32635647.15
664837547.0,346317705.54
33209936.0,32832718.25
23551286.0,33553878.38
49730854.0,76536560.42
34562222.0,21914437.3
23236296.0,54774303.62
512390011.0,657251506.86
1164305.0,16181752.84
63111381.0,91547401.4
6600000.0,6685900.39
1495398.0,1337889.92
457697994.0,341702293.63
87420776.0,89398960.11
30535660.0,23275385.15
91902438.0,43843674.36
4049527.0,9438914.76
74966854.0,52979308.79
17000437.0,17291214.7
26348203.0,3666794.46
47751015.0,35196970.68
92618117.0,9443172.39
46187511.0,35010086.66
336359676.0,258681486.0
2859811.0,3099203.38
1138355.0,4158639.91
39377700.0,40769391.97
257858943.0,249691043.25
12970401.0,17900119.23
43057552.0,128558392.47
306770545.0,8886690.18
270232.0,74916060.01
542351353.0,720214281.8
23007150.0,24086208.57
99750000.0,8644010.15
14321070.0,8313871.97
26121638.0,62859811.79
95989590.0,86492977.67
5806666.0,4217579.97
144110682.0,87562869.26
6000000.0,7629652.75
61910507.0,89099298.26
749375.0,53145.28
96068724.0,136728233.99
29548291.0,30123824.71
8224998.0,13144750.92
26716191.0,27891681.53
205298907.0,139256903.43
701012746.0,873724897.48
186883563.0,199083609.7
149228078.0,138878005.44
529136.0,1886392.7
115150424.0,180609793.15
13367948.0,46172066.45
1070053.0,74530601.43
236500000.0,119796862.62
120592276.0,196769166.74
25268680.0,112558429.19
26078500.0,22292763.99
152566881.0,230756193.79
149804632.0,7885420.02
15360539.0,11817884.5
166598362.0,122572795.18
536544.0,776709.43
4956401.0,4897940.73
634379.0,8303623.22
21458229.0,23227801.07
155564919.0,152951122.22
63320521.0,115970201.57
290701374.0,270541754.26
557545.0,12843765.58
15432314.0,15408718.67
10206551.0,9379471.89
12581713.0,12656369.9
9172000.0,73073862.28
927074.0,696621.14
