Countries,Occurrences
United States,5600
United Kingdom,612
France,348
Canada,198
Germany,167
India,103
Australia,90
Italy,63
Spain,59
Japan,58
China,56
Republic of Korea,42
Ireland,40
Hong Kong,40
Belgium,40
Denmark,34
Mexico,34
Sweden,30
New Zealand,23
Netherlands,17
Argentina,14
Russian Federation,13
Israel,13
Switzerland,13
Poland,13
Czech Republic,12
Norway,12
South Africa,11
Brazil,11
Finland,10
Romania,8
Hungary,8
Luxembourg,7
Lebanon,6
United Arab Emirates,6
Greece,6
Austria,5
Islamic Republic of Iran,5
Turkey,4
Chile,4
Morocco,4
Iceland,4
Qatar,3
Bulgaria,3
Egypt,3
Philippines,3
"Taiwan, Province of China",3
German Democratic Republic,3
Cuba,2
Cyprus,2
Indonesia,2
Peru,2
Viet Nam,2
Ukraine,2
Slovenia,2
Botswana,2
Thailand,2
Panama,2
The Former Yugoslav Republic of Macedonia,2
Bahamas,2
Uruguay,2
Slovakia,2
Bosnia and Herzegovina,2
Portugal,2
Chad,1
Saudi Arabia,1
Malta,1
Cameroon,1
Cape Verde,1
Paraguay,1
Georgia,1
Dominican Republic,1
Lao Peopleâ€™s Democratic Republic,1
Myanmar,1
Nigeria,1
Sri Lanka,1
Greenland,1
Jordan,1
Bolivarian Republic of Venezuela,1
Colombia,1
Occupied Palestinian Territory,1
Mauritania,1
Tunisia,1
Monaco,1
Lithuania,1
Kuwait,1
Namibia,1
Afghanistan,1
Puerto Rico,1
Kazakhstan,1
Croatia,1
Costa Rica,1
